FLAG_TSUNAMI	YEAR	MONTH	DAY	EQ_PRIMARY	LATITUDE	LONGITUDE
Tsu	1960	5	22	9.5	-38.143	-73.407
Tsu	1964	3	28	9.2	61.017	-147.648
Tsu	2004	12	26	9.1	3.316	95.854
Tsu	2011	3	11	9.1	38.297	142.372
Tsu	1952	11	4	9	52.755	160.057
Tsu	1700	1	27	9	45	-125
	1716	2	6	8.8	-17.2	-71.2
Tsu	2010	2	27	8.8	-36.122	-72.898
Tsu	1812	2	7	8.8	36.5	-89.6
Tsu	1730	7	8	8.7	-32.5	-71.5
Tsu	1922	11	11	8.7	-28.553	-70.755
Tsu	1897	9	21	8.7	6	122
	1513			8.7	-17.2	-72.3
Tsu	1965	2	4	8.7	51.29	178.55
Tsu	1950	8	15	8.6	28.5	96.5
	1716	2	11	8.6	-13.7	-76
	1619	2	14	8.6	-7.941	-79.038
Tsu	1906	1	31	8.6	1	-81.5
	1609	10	20	8.6	-11.9	-77.4
Tsu	1897	9	20	8.6	6	122
Tsu	1946	4	1	8.6	53.492	-162.832
Tsu	869	7	13	8.6	38.5	143.8
Tsu	887	8	26	8.6	33	135.3
Tsu	1957	3	9	8.6	51.292	-175.629
Tsu	2005	3	28	8.6	2.085	97.108
Tsu	2012	4	11	8.6	2.327	93.063
Tsu	1668	7	25	8.5	35.3	118.6
Tsu	1604	11	24	8.5	-17.88	-70.94
	1647	5	14	8.5	-33.4	-70.6
Tsu	1751	5	25	8.5	-36.83	-71.63
Tsu	1755	11	1	8.5	37	-10
Tsu	1811	12	16	8.5	35.6	-90.4
Tsu	1822	11	20	8.5	-33	-72
Tsu	1868	8	13	8.5	-18.6	-71
Tsu	1575	12	16	8.5	-39.8	-73.2
Tsu	1586	7	10	8.5	-12.3	-77.7
Tsu	1687	10	20	8.5	-13.5	-76.5
Tsu	1819	4	12	8.5	-27	-71.5
Tsu	1837	11	7	8.5	-42.5	-74
Tsu	1761	3	30	8.5	34.5	-13
Tsu	1861	2	16	8.5	-1	97.5
Tsu	1963	10	13	8.5	44.77	149.798
Tsu	1818	11	8	8.5	-7	117
	1868	8	14	8.5	-18.6	-71
Tsu	1938	2	1	8.5	-5.25	130.5
Tsu	1792	8	22	8.4	54	162
Tsu	1841	5	17	8.4	52	158
Tsu	1812	1	23	8.4	36.3	-89.6
Tsu	1900	10	29	8.4	11	-66
Tsu	1678	6	18	8.4	-9	-79
Tsu	2001	6	23	8.4	-16.265	-73.641
	1555	11	15	8.4	-11.9	-77.6
Tsu	1584	3	17	8.4	-11.8	-77.8
Tsu	684	11	29	8.4	32.5	134
Tsu	1096	12	17	8.4	34	137.5
Tsu	1099	2	22	8.4	33	135.5
Tsu	1361	8	3	8.4	33	135
Tsu	1707	10	28	8.4	34.1	137.8
Tsu	1707	10	28	8.4	33.2	134.8
Tsu	1843	4	25	8.4	42	146
Tsu	1854	12	24	8.4	33.1	135
	1891	10	27	8.4	35.5	137
	1899	1	24	8.4	17	-98
Tsu	1901	8	9	8.4	-22	170
	1905	1	22	8.4	1	123
	1905	7	9	8.4	49	99
	1905	7	23	8.4	49	98
	1906	1	21	8.4	34	138
Tsu	1933	3	2	8.4	39.224	144.622
Tsu	2007	9	12	8.4	-4.438	101.367
Tsu	1920	12	16	8.3	36.601	105.317
Tsu	1570	2	8	8.3	-36.75	-73
	1797	2	4	8.3	-1.64	-78.67
Tsu	1877	5	10	8.3	-21.5	-70.5
Tsu	1882	9	7	8.3	10	-79
Tsu	1923	2	3	8.3	54	161
	1889	7	11	8.3	43.2	78.7
Tsu	1904	6	25	8.3	52	159
Tsu	1918	8	15	8.3	5.5	123
Tsu	1939	1	25	8.3	-36.25	-72.25
Tsu	1958	11	6	8.3	44.53	148.54
Tsu	1833	11	24	8.3	-2.5	100.5
Tsu	1843	2	8	8.3	16.5	-62.2
Tsu	1852	11	25	8.3	-5.25	129.75
	1906	12	22	8.3	43.5	85
Tsu	1924	4	14	8.3	6.5	126.5
Tsu	1941	11	25	8.3	37.417	-18.983
Tsu	1948	1	24	8.3	10.5	122
Tsu	1994	10	4	8.3	43.773	147.321
Tsu	2015	9	16	8.3	-31.573	-71.674
	1900	10	9	8.3	57.09	-153.48
Tsu	1828	3	30	8.3	-12.13	-77.809
	1857	1	9	8.3	35	-119
	1904	8	27	8.3	64.66	-148.08
Tsu	1498	9	20	8.3	34	138.1
Tsu	1787	3	28	8.3	16.5	-98.5
Tsu	1793	2	17	8.3	38.5	144
Tsu	1854	12	23	8.3	34	137.9
Tsu	1896	6	15	8.3	39.5	144
	1897	2	7	8.3	40	140
Tsu	1903	6	2	8.3	61.56	-158.54
Tsu	1907	4	15	8.3	17	-100
Tsu	1917	6	26	8.3	-15.5	-173
Tsu	1918	9	7	8.3	45.5	151.5
Tsu	1919	1	1	8.3	-19.5	-176.5
	1963	11	4	8.3	-6.86	129.58
Tsu	2003	9	25	8.3	41.815	143.91
Tsu	2006	11	15	8.3	46.592	153.266
	2013	5	24	8.3	54.892	153.221
	1725	2	1	8.2	56.5	118.5
Tsu	1835	2	20	8.2	-36.83	-73.03
Tsu	1899	9	4	8.2	60	-142
Tsu	1899	9	10	8.2	60	-140
Tsu	1906	8	17	8.2	-33	-72
Tsu	1582	1	22	8.2	-16.6	-71.6
Tsu	1895	7	8	8.2	39.5	53.7
Tsu	1940	5	24	8.2	-10.5	-77
Tsu	1959	5	4	8.2	52.5	159.5
	1826	6	18	8.2	4.6	-73.9
	1894	4	29	8.2	8.5	-71.7
Tsu	1942	8	24	8.2	-15	-76
Tsu	1969	8	11	8.2	43.6	147.9
Tsu	1989	5	23	8.2	-52.341	160.568
Tsu	1938	11	10	8.2	55.48	-158.37
Tsu	1968	5	16	8.2	40.8	143.2
Tsu	1586	1	18	8.2	35	136.8
Tsu	1703	12	30	8.2	35	140
Tsu	1901	8	9	8.2	40.6	142.3
Tsu	1908	12	12	8.2	-14	-78
Tsu	1943	4	6	8.2	-30.75	-72
Tsu	1960	5	21	8.2	-37.872	-73.243
	1994	6	9	8.2	-13.841	-67.553
Tsu	1996	2	17	8.2	-0.891	136.952
Tsu	2012	4	11	8.2	0.802	92.463
Tsu	2014	4	1	8.2	-19.642	-70.817
	1957	12	4	8.1	45.5	99.5
	1600	2	28	8.1	-16.6	-70.8
	1650	3	31	8.1	-13.5	-72
Tsu	1904	6	25	8.1	52	159
Tsu	1932	6	3	8.1	19.5	-104.25
Tsu	1897	10	18	8.1	12	126
	1902	9	22	8.1	18	146
Tsu	1914	5	26	8.1	-1.829	136.943
Tsu	1952	3	4	8.1	42.15	143.85
Tsu	1966	10	17	8.1	-10.748	-78.638
	1971	1	10	8.1	-3.1	139.7
Tsu	1974	10	3	8.1	-12.27	-77.79
Tsu	1985	9	19	8.1	18.19	-102.533
	1943	7	23	8.1	-9.5	110
	1630	11	27	8.1	-12.2	-77.5
	1909	7	7	8.1	36.5	70.5
Tsu	1977	4	21	8.1	-9.965	160.731
Tsu	1611	12	2	8.1	39	144.5
Tsu	1677	4	13	8.1	40	144
Tsu	1842	5	7	8.1	19.75	-72.2
	1903	2	27	8.1	-8	106
	1908	3	26	8.1	18	-99
	1913	10	14	8.1	-19.5	169
	1914	11	24	8.1	22	143
	1915	5	1	8.1	47	155
	1916	1	13	8.1	-3	136
	1916	1	13	8.1	-3	135.5
	1918	11	18	8.1	-7	129
Tsu	1919	4	30	8.1	-18.352	-172.515
	1928	3	9	8.1	-2.5	88.5
	1937	4	16	8.1	-21.5	-177
	1943	5	25	8.1	7.5	128
Tsu	1944	12	7	8.1	34	137.1
Tsu	1946	12	20	8.1	33	135.6
Tsu	1949	8	22	8.1	53.62	-133.27
	1950	11	2	8.1	-6.5	129.5
Tsu	1986	10	20	8.1	-28.117	-176.367
Tsu	1998	3	25	8.1	-62.877	149.527
Tsu	2004	12	23	8.1	-49.312	161.345
Tsu	2007	1	13	8.1	46.243	154.524
Tsu	2007	4	1	8.1	-8.466	157.043
Tsu	2009	9	29	8.1	-15.489	-172.095
Tsu	2017	9	8	8.1	15.068	-93.715
Tsu	365	7	21	8	35	23
	1303	9	17	8	36.3	111.7
	1556	1	23	8	34.5	109.7
Tsu	1562	10	28	8	-38.7	-73.5
	1654	7	21	8	34.3	105.5
Tsu	1657	3	15	8	-36.83	-73.03
	1679	9	2	8	40	117
Tsu	1737	12	24	8	-43	-74
Tsu	1746	10	29	8	-11.996	-77.198
Tsu	1833	9	6	8	25.2	103
	1879	7	1	8	33.2	104.7
	1931	8	10	8	47.1	89.8
Tsu	1934	1	15	8	26.773	86.762
Tsu	1530	9	1	8	10.5	-64.2
Tsu	1627	9	14	8	18.4	121.6
Tsu	1645	11	30	8	14.4	121
	1695	5	18	8	36	111.5
	1739	1	3	8	38.9	106.5
Tsu	1784	5	13	8	-16.5	-72
Tsu	1811	12	16	8	35.6	-90.4
Tsu	1897	6	12	8	26	91
Tsu	1945	11	27	8	24.5	63
	1471			8	-16.3	-71
Tsu	1690	4	16	8	17.5	-61.5
	1912	5	23	8	21	97
	1868	8	15	8	0.81	-77.72
Tsu	1909	12	9	8	12.5	145
Tsu	1985	3	3	8	-33.132	-71.708
Tsu	2007	8	15	8	-13.386	-76.603
Tsu	1788	7	21	8	57	-153
	1950	12	9	8	-23.5	-67.5
Tsu	1995	7	30	8	-23.34	-70.294
Tsu	1976	8	16	8	6.292	124.09
Tsu	1986	5	7	8	51.52	-174.776
Tsu	1856	8	23	8	40.5	143.5
	1902	6	11	8	50	148
Tsu	1604	12	29	8	25	119.5
Tsu	1788	8	6	8	55	-161
Tsu	1797	2	10	8	0.001	99
	1812	3	8	8	43.7	83
	1817	3	11	8	45.9	6.8
	1819	4	3	8	-27.4	-70.3
	1819	4	4	8	-27.4	-70.3
	1826			8	-45.8	166.5
	1833	8	26	8	28.3	85.5
Tsu	1845	4	7	8	17	-100.6
Tsu	1855	1	23	8	-41.25	175
Tsu	1857	4	17	8	-5.5	147
Tsu	1865	11	18	8	-19.5	-173.5
Tsu	1873			8	-5.5	146
Tsu	1875	3	28	8	-20	168.5
Tsu	1878	2	11	8	-19	168.5
Tsu	1887	5	3	8	31	-109
Tsu	1889	9	6	8	1	126.25
	1903	1	4	8	-20	-175
Tsu	1906	9	14	8	-7	149
	1910	11	26	8	-8	167
Tsu	1911	6	15	8	28	130
	1916	2	1	8	29.5	131.5
Tsu	1917	5	1	8	-29.2	-177
	1920	6	5	8	23.5	122.7
Tsu	1966	3	12	8	24.1	122.6
Tsu	1976	1	14	8	-28.427	-177.657
Tsu	1977	8	19	8	-11.085	118.464
Tsu	1995	10	9	8	19.055	-104.205
Tsu	2000	11	16	8	-3.98	152.169
	1600	2	19	7.9	-16.8	-70.9
Tsu	1906	4	18	7.9	37.67	-122.48
	1926	6	26	7.9	36.5	27.5
	856	12	22	7.9	36.2	54.3
	1610	2	3	7.9	8.3	-71.8
	1867	2	4	7.9	38.4	20.2
Tsu	1868	4	3	7.9	19	-155.5
Tsu	1913	8	6	7.9	-17	-74
	1931	1	15	7.9	16.1	-96.8
Tsu	1932	6	18	7.9	19.452	-103.632
Tsu	1970	5	31	7.9	-9.2	-78.8
Tsu	1894	3	22	7.9	42.5	146
	1900	12	25	7.9	43	146
	1904	6	27	7.9	52	159
	1942	5	14	7.9	-0.75	-81.5
Tsu	1971	7	14	7.9	-5.5	153.9
	2002	11	3	7.9	63.517	-147.444
Tsu	2008	5	12	7.9	31.002	103.322
Tsu	1878	1	23	7.9	-19.92	-70.335
	1897	5	13	7.9	12	124
	1897	8	15	7.9	18	120
	1898	4	29	7.9	12	-86
Tsu	1975	7	20	7.9	-6.59	155.054
Tsu	2013	2	6	7.9	-10.799	165.114
	1906	9	28	7.9	-2	-79
	1941	4	15	7.9	18.9	-102.9
Tsu	1957	7	28	7.9	16.5	-99.1
Tsu	2006	5	3	7.9	-20.187	-174.123
	1846	6	28	7.9	-14	-76.8
	1950	2	28	7.9	46	144
Tsu	1971	7	26	7.9	-4.9	153.2
Tsu	1987	11	30	7.9	58.679	-142.786
Tsu	1996	1	1	7.9	0.729	119.931
Tsu	1996	6	10	7.9	51.564	-177.632
	2000	6	4	7.9	-4.721	102.087
	1917	5	31	7.9	54.79	-169.12
Tsu	1995	12	3	7.9	44.663	149.3
	745	6	5	7.9	35.5	136.9
Tsu	818	8		7.9	35.2	139.3
Tsu	1605	2	3	7.9	33	134.9
Tsu	1605	2	3	7.9	33.5	138.5
Tsu	1848	10	15	7.9	-41.3	174.5
Tsu	1870	5	11	7.9	15.4	-96.3
Tsu	1881	12	31	7.9	8.52	92.43
	1897	8	16	7.9	39	143
	1897	10	20	7.9	12	126
	1899	11	23	7.9	53	159
	1900	9	18	7.9	4.6	-74
Tsu	1901	6	24	7.9	27	130
Tsu	1901	8	9	7.9	40.5	142.5
	1903	5	13	7.9	-17	168
Tsu	1904	1	20	7.9	7	-79
	1904	6	7	7.9	40	134
	1904	8	24	7.9	30	130
	1905	2	14	7.9	50.73	-178.55
	1906	12	3	7.9	15	-61
Tsu	1906	12	26	7.9	-18	-71
	1907	5	25	7.9	51.5	147
	1907	6	25	7.9	1	127
	1909	11	10	7.9	32	131
	1910	6	16	7.9	-19	169.5
	1910	11	9	7.9	-16	166
	1911	6	7	7.9	17.5	-102.5
Tsu	1915	9	7	7.9	14	-89
Tsu	1916	1	1	7.9	-4.739	152.548
Tsu	1918	5	20	7.9	-28.5	-71.5
Tsu	1923	9	1	7.9	35.1	139.5
	1926	10	3	7.9	-49	161
	1926	10	26	7.9	-3.5	138.5
	1932	5	26	7.9	-25.5	179.2
Tsu	1934	2	14	7.9	17.5	119
Tsu	1939	4	30	7.9	-9.295	159.234
	1942	8	6	7.9	14	-91
	1942	11	10	7.9	-49.5	32
	1943	9	6	7.9	-53	159
Tsu	1946	8	2	7.9	-26.5	-70.5
Tsu	1946	8	4	7.9	19.25	-69
	1947	7	29	7.9	28.5	94
	1948	3	1	7.9	-3	127.5
Tsu	1948	9	8	7.9	-21	-174
	1950	5	16	7.9	-15	-69.5
	1951	5	16	7.9	-15	-69.5
	1951	12	8	7.9	-34	57
Tsu	1963	10	20	7.9	44.772	150.563
Tsu	1979	9	12	7.9	-1.679	136.04
Tsu	1980	7	17	7.9	-12.525	165.916
Tsu	2000	6	18	7.9	-13.802	97.453
	2007	9	12	7.9	-2.625	100.841
	2011	3	11	7.9	36.281	141.111
Tsu	2014	6	23	7.9	51.797	178.76
Tsu	2016	12	17	7.9	-4.509	153.45
Tsu	2017	1	22	7.9	-6.214	155.122
	1903	8	11	7.8	36	23
	1904	4	4	7.8	41.8	23.2
Tsu	1958	7	10	7.8	58.37	-136.665
	1737	11	4	7.8	55.5	163
Tsu	1872	3	26	7.8	36.7	-118.1
Tsu	1905	4	4	7.8	33	76
	1905	11	8	7.8	40.25	24.2
Tsu	1911	7	12	7.8	9	126
	1920	1	3	7.8	19.26	-96.97
Tsu	1960	1	13	7.8	-15.75	-72.75
	1970	1	4	7.8	24.1	102.5
Tsu	1971	12	15	7.8	56	163.3
	1839	1	11	7.8	14.4	-61.1
Tsu	1913	3	14	7.8	5.354	126.121
Tsu	1956	7	9	7.8	36.9	26
Tsu	1971	7	9	7.8	-32.5	-71.2
	1990	7	16	7.8	15.679	121.172
Tsu	1993	8	8	7.8	12.982	144.801
Tsu	1994	12	28	7.8	40.525	143.419
	1903	12	28	7.8	7	126
Tsu	1966	12	28	7.8	-25.5	-70.7
	1968	2	12	7.8	-5.5	153.2
	1976	1	14	7.8	-29.208	-177.886
Tsu	1986	11	14	7.8	23.901	121.574
	1566			7.8	3	-77.3
	1582	8	15	7.8	-12.2	-77.6
	1699	7	14	7.8	-12.1	-76.6
	1831	10	9	7.8	-18.5	-71
Tsu	1864	5	23	7.8	-1	135
	1899	9	10	7.8	60	-140
	1901	12	14	7.8	14	122
Tsu	1952	3	19	7.8	9.5	127.25
Tsu	1969	2	28	7.8	36.017	-10.95
Tsu	1997	12	5	7.8	54.841	162.035
	1899	6	14	7.8	18	-77
Tsu	1929	3	7	7.8	51	-170
Tsu	1975	12	26	7.8	-16.265	-172.467
Tsu	1988	3	6	7.8	57.262	-142.747
	1575	9	8	7.8	-0.2	-78.6
Tsu	1763	3	11	7.8	41	142.5
Tsu	1899	9	29	7.8	-3	128.5
	1900	1	11	7.8	36.5	133.5
	1900	5	16	7.8	20	-105
	1901	1	7	7.8	-2	-82
Tsu	1901	12	31	7.8	51.45	-171.02
	1902	1	1	7.8	52.4	-167.5
	1902	1	24	7.8	-8	150
	1902	2	9	7.8	-20	-174
	1902	9	23	7.8	16.6	-92.6
	1902	12	12	7.8	29	-114
	1903	2	1	7.8	48	98
	1905	6	2	7.8	34	132
	1905	9	15	7.8	53	164
	1906	8	17	7.8	51.05	179.69
	1906	11	19	7.8	-22	109
Tsu	1907	1	4	7.8	2	94.5
	1907	9	2	7.8	52.59	-169.73
	1909	2	22	7.8	-18	-179
	1909	4	10	7.8	52	175
Tsu	1909	7	30	7.8	16.8	-99.8
	1910	4	12	7.8	25.5	122.5
Tsu	1912	8	9	7.8	40.5	27.2
	1912	11	19	7.8	19.9	-99.8
Tsu	1915	11	1	7.8	38.3	142.9
	1916	1	24	7.8	41	37
	1916	4	21	7.8	33	141
Tsu	1917	1	30	7.8	56.5	163
	1917	8	30	7.8	-7.5	128
Tsu	1918	11	8	7.8	44.5	151.5
Tsu	1918	12	4	7.8	-26	-71
Tsu	1919	5	6	7.8	-4.852	153.714
Tsu	1920	9	20	7.8	-19.919	168.53
	1921	11	15	7.8	36.5	70.5
